# ProtocolLib constant name -> PacketEvents constant name.
#
# ProtocolLib and PacketEvents both name packets after wiki.vg/Mojang, so most constants
# already agree and are matched automatically by the generator (exact name, or PacketEvents'
# wrapper class name matching one of ProtocolLib's declared packet class aliases).
#
# This file covers only the names that do NOT match automatically. Every row was checked
# against ProtocolLib's own PacketType.java declarations (which carry the Mojang, Spigot and
# legacy class names for each packet) and PacketEvents' wrapper classes. Fuzzy matching was
# deliberately NOT used for these: a wrong packet mapping fails silently at runtime and
# corrupts plugin behaviour, so they are pinned explicitly instead.
#
# The generator fails the build if any PE_NAME here does not exist, so a PacketEvents upgrade
# that renames a packet surfaces as a build error rather than a silent behaviour change.
#
# Format: PROTOCOL <TAB> SIDE <TAB> PROTOCOLLIB_NAME <TAB> PACKETEVENTS_NAME

PLAY	SERVER	REMOVE_RESOURCE_PACK	RESOURCE_PACK_REMOVE
PLAY	SERVER	ADD_RESOURCE_PACK	RESOURCE_PACK_SEND
PLAY	SERVER	ENTITY_HEAD_ROTATION	ENTITY_HEAD_LOOK
PLAY	SERVER	SET_ACTION_BAR_TEXT	ACTION_BAR
PLAY	SERVER	SET_BORDER_CENTER	WORLD_BORDER_CENTER
PLAY	SERVER	SET_BORDER_LERP_SIZE	WORLD_BORDER_LERP_SIZE
PLAY	SERVER	SET_BORDER_SIZE	WORLD_BORDER_SIZE
PLAY	SERVER	SET_BORDER_WARNING_DELAY	WORLD_BORDER_WARNING_DELAY
PLAY	SERVER	SET_BORDER_WARNING_DISTANCE	WORLD_BORDER_WARNING_REACH
PLAY	SERVER	VIEW_CENTRE	UPDATE_VIEW_POSITION
PLAY	SERVER	VIEW_DISTANCE	UPDATE_VIEW_DISTANCE
PLAY	SERVER	SCOREBOARD_DISPLAY_OBJECTIVE	DISPLAY_SCOREBOARD
PLAY	SERVER	HELD_ITEM_SLOT	HELD_ITEM_CHANGE
PLAY	SERVER	SCOREBOARD_TEAM	TEAMS
PLAY	SERVER	SCOREBOARD_SCORE	UPDATE_SCORE
PLAY	SERVER	SET_SUBTITLE_TEXT	SET_TITLE_SUBTITLE
PLAY	SERVER	UPDATE_TIME	TIME_UPDATE
PLAY	SERVER	SET_TITLES_ANIMATION	SET_TITLE_TIMES
PLAY	SERVER	ENTITY_SOUND	ENTITY_SOUND_EFFECT
PLAY	SERVER	START_CONFIGURATION	CONFIGURATION_START
PLAY	SERVER	SYSTEM_CHAT	SYSTEM_CHAT_MESSAGE
PLAY	SERVER	PLAYER_LIST_HEADER_FOOTER	PLAYER_LIST_HEADER_AND_FOOTER
PLAY	SERVER	NBT_QUERY	NBT_QUERY_RESPONSE
PLAY	SERVER	COLLECT	COLLECT_ITEM
PLAY	SERVER	RECIPE_UPDATE	DECLARE_RECIPES
PLAY	SERVER	TRACKED_WAYPOINT	WAYPOINT
PLAY	SERVER	NAMED_ENTITY_SPAWN	SPAWN_PLAYER
PLAY	SERVER	SPAWN_ENTITY_EXPERIENCE_ORB	SPAWN_EXPERIENCE_ORB
# Legacy (pre-1.17) constants ProtocolLib still exposes.
PLAY	SERVER	BED	USE_BED
PLAY	SERVER	SPAWN_ENTITY_WEATHER	SPAWN_WEATHER_ENTITY
PLAY	SERVER	TRANSACTION	WINDOW_CONFIRMATION
PLAY	SERVER	ENTITY	ENTITY_MOVEMENT
PLAY	SERVER	SPAWN_ENTITY_LIVING	SPAWN_LIVING_ENTITY
PLAY	SERVER	SPAWN_ENTITY_PAINTING	SPAWN_PAINTING
PLAY	SERVER	ADD_VIBRATION_SIGNAL	SCULK_VIBRATION_SIGNAL
PLAY	SERVER	BLOCK_BREAK	ACKNOWLEDGE_PLAYER_DIGGING
PLAY	SERVER	CUSTOM_SOUND_EFFECT	NAMED_SOUND_EFFECT
PLAY	SERVER	RECIPES	UNLOCK_RECIPES

# --- Play, serverbound ---
PLAY	CLIENT	TELEPORT_ACCEPT	TELEPORT_CONFIRM
PLAY	CLIENT	TILE_NBT_QUERY	QUERY_BLOCK_NBT
PLAY	CLIENT	DIFFICULTY_CHANGE	SET_DIFFICULTY
# PacketEvents' CHAT_COMMAND is the signed variant; its CHAT_COMMAND_UNSIGNED is the
# 1.20.5+ unsigned one. ProtocolLib's plain CHAT_COMMAND matches PE's CHAT_COMMAND by name.
PLAY	CLIENT	CHAT_COMMAND_SIGNED	CHAT_COMMAND
PLAY	CLIENT	CHAT	CHAT_MESSAGE
PLAY	CLIENT	CHUNK_BATCH_RECEIVED	CHUNK_BATCH_ACK
PLAY	CLIENT	CLIENT_COMMAND	CLIENT_STATUS
PLAY	CLIENT	ENCHANT_ITEM	CLICK_WINDOW_BUTTON
PLAY	CLIENT	WINDOW_CLICK	CLICK_WINDOW
PLAY	CLIENT	CONTAINER_SLOT_STATE_CHANGED	SLOT_STATE_CHANGE
PLAY	CLIENT	CUSTOM_PAYLOAD	PLUGIN_MESSAGE
PLAY	CLIENT	ENTITY_NBT_QUERY	QUERY_ENTITY_NBT
PLAY	CLIENT	USE_ENTITY	INTERACT_ENTITY
PLAY	CLIENT	JIGSAW_GENERATE	GENERATE_STRUCTURE
PLAY	CLIENT	POSITION	PLAYER_POSITION
PLAY	CLIENT	POSITION_LOOK	PLAYER_POSITION_AND_ROTATION
PLAY	CLIENT	LOOK	PLAYER_ROTATION
# Both ProtocolLib's GROUND (StatusOnly) and FLYING collapse onto PacketEvents' PLAYER_FLYING.
PLAY	CLIENT	GROUND	PLAYER_FLYING
PLAY	CLIENT	FLYING	PLAYER_FLYING
PLAY	CLIENT	BOAT_MOVE	STEER_BOAT
# Mojang renamed serverbound ping_request to debug_ping; PacketEvents tracks the new name.
PLAY	CLIENT	PING_REQUEST	DEBUG_PING
PLAY	CLIENT	AUTO_RECIPE	CRAFT_RECIPE_REQUEST
PLAY	CLIENT	BLOCK_DIG	PLAYER_DIGGING
PLAY	CLIENT	RECIPE_SETTINGS	SET_RECIPE_BOOK_STATE
PLAY	CLIENT	RECIPE_DISPLAYED	SET_DISPLAYED_RECIPE
PLAY	CLIENT	ITEM_NAME	NAME_ITEM
PLAY	CLIENT	ADVANCEMENTS	ADVANCEMENT_TAB
PLAY	CLIENT	BEACON	SET_BEACON_EFFECT
PLAY	CLIENT	HELD_ITEM_SLOT	HELD_ITEM_CHANGE
PLAY	CLIENT	SET_COMMAND_BLOCK	UPDATE_COMMAND_BLOCK
PLAY	CLIENT	SET_COMMAND_MINECART	UPDATE_COMMAND_BLOCK_MINECART
PLAY	CLIENT	SET_CREATIVE_SLOT	CREATIVE_INVENTORY_ACTION
PLAY	CLIENT	SET_JIGSAW	UPDATE_JIGSAW_BLOCK
PLAY	CLIENT	ARM_ANIMATION	ANIMATION
PLAY	CLIENT	USE_ITEM_ON	PLAYER_BLOCK_PLACEMENT
PLAY	CLIENT	BLOCK_PLACE	PLAYER_BLOCK_PLACEMENT
PLAY	CLIENT	TRANSACTION	WINDOW_CONFIRMATION
PLAY	CLIENT	ABILITIES	PLAYER_ABILITIES
PLAY	CLIENT	B_EDIT	EDIT_BOOK
PLAY	CLIENT	DIFFICULTY_LOCK	LOCK_DIFFICULTY
PLAY	CLIENT	SETTINGS	CLIENT_SETTINGS
PLAY	CLIENT	STRUCT	UPDATE_STRUCTURE_BLOCK
PLAY	CLIENT	TR_SEL	SELECT_TRADE

# Additional historical clientbound names retained by ProtocolLib.
PLAY	SERVER	ABILITIES	PLAYER_ABILITIES
PLAY	SERVER	ADVANCEMENTS	UPDATE_ADVANCEMENTS
PLAY	SERVER	CHAT_PREVIEW	CHAT_PREVIEW_PACKET
PLAY	SERVER	CRAFT_PROGRESS_BAR	WINDOW_PROPERTY
PLAY	SERVER	DELETE_CHAT_MESSAGE	DELETE_CHAT
PLAY	SERVER	ENTITY_MOVE_LOOK	ENTITY_RELATIVE_MOVE_AND_ROTATION
PLAY	SERVER	EXPERIENCE	SET_EXPERIENCE
PLAY	SERVER	KICK_DISCONNECT	DISCONNECT
PLAY	SERVER	MOUNT	SET_PASSENGERS
PLAY	SERVER	OPEN_SIGN_ENTITY	OPEN_SIGN_EDITOR
PLAY	SERVER	REPORT_DETAILS	CUSTOM_REPORT_DETAILS
PLAY	SERVER	SELECT_ADVANCEMENT_TAB	SELECT_ADVANCEMENTS_TAB
PLAY	SERVER	SET_DISPLAY_CHAT_PREVIEW	DISPLAY_CHAT_PREVIEW
PLAY	SERVER	TICKING_STEP_STATE	TICKING_STATE
PLAY	SERVER	TILE_ENTITY_DATA	BLOCK_ENTITY_DATA

# --- Status ---
STATUS	SERVER	SERVER_INFO	RESPONSE
STATUS	CLIENT	START	REQUEST
STATUS	SERVER	OUT_SERVER_INFO	RESPONSE

# --- Login ---
LOGIN	SERVER	ENCRYPTION_BEGIN	ENCRYPTION_REQUEST
LOGIN	SERVER	SUCCESS	LOGIN_SUCCESS
LOGIN	SERVER	CUSTOM_PAYLOAD	LOGIN_PLUGIN_REQUEST
LOGIN	CLIENT	START	LOGIN_START
LOGIN	CLIENT	ENCRYPTION_BEGIN	ENCRYPTION_RESPONSE
LOGIN	CLIENT	CUSTOM_PAYLOAD	LOGIN_PLUGIN_RESPONSE
LOGIN	CLIENT	LOGIN_ACK	LOGIN_SUCCESS_ACK

# --- Configuration ---
CONFIGURATION	SERVER	CUSTOM_PAYLOAD	PLUGIN_MESSAGE
CONFIGURATION	SERVER	FINISH_CONFIGURATION	CONFIGURATION_END
CONFIGURATION	SERVER	REMOVE_RESOURCE_PACK	RESOURCE_PACK_REMOVE
CONFIGURATION	SERVER	ADD_RESOURCE_PACK	RESOURCE_PACK_SEND
CONFIGURATION	SERVER	REPORT_DETAILS	CUSTOM_REPORT_DETAILS
CONFIGURATION	SERVER	RESOURCE_PACK	RESOURCE_PACK_SEND
CONFIGURATION	CLIENT	CLIENT_INFORMATION	CLIENT_SETTINGS
CONFIGURATION	CLIENT	CUSTOM_PAYLOAD	PLUGIN_MESSAGE
CONFIGURATION	CLIENT	FINISH_CONFIGURATION	CONFIGURATION_END_ACK
CONFIGURATION	CLIENT	RESOURCE_PACK_ACK	RESOURCE_PACK_STATUS
